2022-09-30 17:02:45,729	INFO trainable.py:160 -- Trainable.setup took 24.909 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2022-09-30 17:02:45,730	WARNING util.py:65 -- Install gputil for GPU system monitoring.
Main trainign step 0
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931471824645996, 'policy_loss': 36.99603271484375, 'vf_loss': 179.7366180419922, 'total_loss': 126.79502868652344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93021297454834, 'policy_loss': 37.40442657470703, 'vf_loss': 179.75672912597656, 'total_loss': 127.21348571777344}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 20.793128967285156, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930209159851074, 'policy_loss': 26.453638076782227, 'vf_loss': 99.42546081542969, 'total_loss': 76.09706115722656}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929633140563965, 'policy_loss': 37.87084197998047, 'vf_loss': 179.805908203125, 'total_loss': 127.70449829101562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9293317794799805, 'policy_loss': 22.76321792602539, 'vf_loss': 73.3656005859375, 'total_loss': 59.37672424316406}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 18.003759384155273, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930419921875, 'policy_loss': 23.164531707763672, 'vf_loss': 73.45967864990234, 'total_loss': 59.82506561279297}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930355548858643, 'policy_loss': 36.945560455322266, 'vf_loss': 179.60491943359375, 'total_loss': 126.6787109375}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 29.283063888549805, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9301276206970215, 'policy_loss': 20.22005844116211, 'vf_loss': 52.863380432128906, 'total_loss': 46.58244705200195}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930959701538086, 'policy_loss': 37.27241134643555, 'vf_loss': 179.6705322265625, 'total_loss': 127.03836822509766}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930642127990723, 'policy_loss': 37.084529876708984, 'vf_loss': 179.39828491210938, 'total_loss': 126.71437072753906}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 22.953083038330078, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929745674133301, 'policy_loss': 20.520450592041016, 'vf_loss': 52.75043487548828, 'total_loss': 46.82637023925781}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929476261138916, 'policy_loss': 20.86411476135254, 'vf_loss': 57.776939392089844, 'total_loss': 49.683292388916016}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9293975830078125, 'policy_loss': 26.08611297607422, 'vf_loss': 97.97381591796875, 'total_loss': 75.00372314453125}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930649280548096, 'policy_loss': 37.0797004699707, 'vf_loss': 179.8804931640625, 'total_loss': 126.95063781738281}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931135654449463, 'policy_loss': 37.154197692871094, 'vf_loss': 179.52706909179688, 'total_loss': 126.84841918945312}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929925441741943, 'policy_loss': 37.042625427246094, 'vf_loss': 179.4495086669922, 'total_loss': 126.69808197021484}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 27.08245086669922, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930697917938232, 'policy_loss': 31.114643096923828, 'vf_loss': 134.49176025390625, 'total_loss': 98.29121398925781}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930190563201904, 'policy_loss': 20.653587341308594, 'vf_loss': 57.210323333740234, 'total_loss': 49.189449310302734}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931254863739014, 'policy_loss': 37.19389724731445, 'vf_loss': 180.09791564941406, 'total_loss': 127.17354583740234}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930932998657227, 'policy_loss': 37.241249084472656, 'vf_loss': 179.35997009277344, 'total_loss': 126.85192108154297}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930593490600586, 'policy_loss': 36.98575210571289, 'vf_loss': 179.44834899902344, 'total_loss': 126.640625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930431842803955, 'policy_loss': 30.603126525878906, 'vf_loss': 131.203125, 'total_loss': 96.13538360595703}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930992603302002, 'policy_loss': 30.777788162231445, 'vf_loss': 132.99314880371094, 'total_loss': 97.20504760742188}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931291103363037, 'policy_loss': 36.84437561035156, 'vf_loss': 177.8369598388672, 'total_loss': 125.69354248046875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9312286376953125, 'policy_loss': 21.06711196899414, 'vf_loss': 57.85980224609375, 'total_loss': 49.92770004272461}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931334018707275, 'policy_loss': 37.306697845458984, 'vf_loss': 181.04017639160156, 'total_loss': 127.7574691772461}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 22.288448333740234, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931109428405762, 'policy_loss': 20.946636199951172, 'vf_loss': 58.01889419555664, 'total_loss': 49.886775970458984}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 19.854494094848633, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930970668792725, 'policy_loss': 20.868017196655273, 'vf_loss': 57.275306701660156, 'total_loss': 49.43635940551758}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930718421936035, 'policy_loss': 35.836448669433594, 'vf_loss': 174.12185668945312, 'total_loss': 122.82807159423828}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930934906005859, 'policy_loss': 36.85630416870117, 'vf_loss': 180.43556213378906, 'total_loss': 127.00476837158203}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 19.8785400390625, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930972099304199, 'policy_loss': 22.778886795043945, 'vf_loss': 72.35350036621094, 'total_loss': 58.88632583618164}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931347846984863, 'policy_loss': 36.709068298339844, 'vf_loss': 177.01710510253906, 'total_loss': 125.14830780029297}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930764198303223, 'policy_loss': 37.050682067871094, 'vf_loss': 181.42498779296875, 'total_loss': 127.6938705444336}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929018020629883, 'policy_loss': 37.328094482421875, 'vf_loss': 179.91180419921875, 'total_loss': 127.21470642089844}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9309163093566895, 'policy_loss': 31.008975982666016, 'vf_loss': 132.81271362304688, 'total_loss': 97.34602355957031}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 28.447776794433594, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931022644042969, 'policy_loss': 23.002338409423828, 'vf_loss': 72.61421966552734, 'total_loss': 59.24013900756836}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930511474609375, 'policy_loss': 37.30093765258789, 'vf_loss': 179.76226806640625, 'total_loss': 127.11276245117188}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931143760681152, 'policy_loss': 37.06645965576172, 'vf_loss': 177.10426330566406, 'total_loss': 125.54927825927734}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.93113899230957, 'policy_loss': 23.008628845214844, 'vf_loss': 72.44538116455078, 'total_loss': 59.16200637817383}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930480003356934, 'policy_loss': 37.31147766113281, 'vf_loss': 180.54266357421875, 'total_loss': 127.51350402832031}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9300079345703125, 'policy_loss': 37.20867919921875, 'vf_loss': 180.1420440673828, 'total_loss': 127.21040344238281}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 22.187593460083008, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930519104003906, 'policy_loss': 20.74982261657715, 'vf_loss': 56.204734802246094, 'total_loss': 48.78288269042969}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 28.043445587158203, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931297779083252, 'policy_loss': 22.691186904907227, 'vf_loss': 71.0542984008789, 'total_loss': 58.149024963378906}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9313859939575195, 'policy_loss': 36.8376579284668, 'vf_loss': 176.57119750976562, 'total_loss': 125.05394744873047}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 25.907459259033203, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931352615356445, 'policy_loss': 22.96019172668457, 'vf_loss': 72.64562225341797, 'total_loss': 59.21369171142578}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931443214416504, 'policy_loss': 36.92253112792969, 'vf_loss': 177.8236083984375, 'total_loss': 125.76502227783203}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 21.74197769165039, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931450843811035, 'policy_loss': 20.715408325195312, 'vf_loss': 56.00800323486328, 'total_loss': 48.65009689331055}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931400299072266, 'policy_loss': 36.721954345703125, 'vf_loss': 177.6291046142578, 'total_loss': 125.46719360351562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 29.164079666137695, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9313201904296875, 'policy_loss': 20.55614471435547, 'vf_loss': 55.120689392089844, 'total_loss': 48.047176361083984}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.931044578552246, 'policy_loss': 36.960453033447266, 'vf_loss': 178.4710235595703, 'total_loss': 126.12665557861328}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 23.581159591674805, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930882930755615, 'policy_loss': 22.90313148498535, 'vf_loss': 72.92098999023438, 'total_loss': 59.294315338134766}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930929183959961, 'policy_loss': 36.81363296508789, 'vf_loss': 178.67906188964844, 'total_loss': 126.08385467529297}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930929183959961, 'policy_loss': 36.905418395996094, 'vf_loss': 177.69970703125, 'total_loss': 125.68595886230469}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930153846740723, 'policy_loss': 37.480751037597656, 'vf_loss': 181.75230407714844, 'total_loss': 128.28759765625}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9304962158203125, 'policy_loss': 24.98248863220215, 'vf_loss': 90.45045471191406, 'total_loss': 70.13841247558594}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930878639221191, 'policy_loss': 36.47072982788086, 'vf_loss': 179.073486328125, 'total_loss': 125.93817138671875}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929570198059082, 'policy_loss': 30.642717361450195, 'vf_loss': 127.22602844238281, 'total_loss': 94.18643188476562}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929281234741211, 'policy_loss': 31.24395179748535, 'vf_loss': 137.23776245117188, 'total_loss': 99.79354095458984}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929545879364014, 'policy_loss': 37.16738510131836, 'vf_loss': 177.69085693359375, 'total_loss': 125.94351959228516}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930168151855469, 'policy_loss': 30.377086639404297, 'vf_loss': 134.78761291503906, 'total_loss': 97.70158386230469}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 25.475143432617188, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929654121398926, 'policy_loss': 19.175342559814453, 'vf_loss': 47.31645202636719, 'total_loss': 42.7642707824707}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.927896499633789, 'policy_loss': 37.53013610839844, 'vf_loss': 181.03521728515625, 'total_loss': 127.97846221923828}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.927743911743164, 'policy_loss': 37.522308349609375, 'vf_loss': 183.97067260742188, 'total_loss': 129.43836975097656}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9282965660095215, 'policy_loss': 21.95293426513672, 'vf_loss': 64.6627197265625, 'total_loss': 54.21501159667969}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.927666187286377, 'policy_loss': 29.9354190826416, 'vf_loss': 128.96640014648438, 'total_loss': 94.3493423461914}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9310150146484375, 'policy_loss': 33.30561065673828, 'vf_loss': 155.6404266357422, 'total_loss': 111.05651092529297}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929589748382568, 'policy_loss': 36.85313415527344, 'vf_loss': 181.24078369140625, 'total_loss': 127.40422821044922}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9298996925354, 'policy_loss': 37.168418884277344, 'vf_loss': 180.28024291992188, 'total_loss': 127.23924255371094}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 25.88892364501953, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929178237915039, 'policy_loss': 19.15256690979004, 'vf_loss': 48.049400329589844, 'total_loss': 43.10797882080078}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.930768013000488, 'policy_loss': 36.58689498901367, 'vf_loss': 178.16192626953125, 'total_loss': 125.59855651855469}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.929989337921143, 'policy_loss': 30.4134578704834, 'vf_loss': 135.7257843017578, 'total_loss': 98.2070541381836}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.9284772872924805, 'policy_loss': 21.47373390197754, 'vf_loss': 67.4429702758789, 'total_loss': 55.12593460083008}
> training_step. Has learer policy.  {'allreduce_latency': 0.0, 'grad_gnorm': 30.0, 'cur_lr': 0.001, 'entropy_coeff': 0.01, 'policy_entropy': 6.926629066467285, 'policy_loss': 37.591941833496094, 'vf_loss': 189.6510772705078, 'total_loss': 132.3482208251953}
